x,v1,v2
0.0,1.006842372022301,0.004784688995215311
0.05,0.2392295995945261,0.7416267942583732
0.1,0.17080587937151545,0.8229665071770335
0.15000000000000002,0.1383679675620882,0.8660287081339713
0.2,0.11809427268119614,0.8851674641148325
0.25,0.099341104916371,0.9090909090909091
0.30000000000000004,0.08717688798783578,0.9234449760765551
0.35000000000000003,0.07780030410542321,0.9282296650717703
0.4,0.06893056259503294,0.937799043062201
0.45,0.06208819057273188,0.9473684210526315
0.5,0.05423213380638622,0.9473684210526315
0.55,0.048656867714140906,0.9473684210526315
0.6000000000000001,0.043841865179929045,0.9473684210526315
0.65,0.036999493157627975,0.9521531100478469
0.7000000000000001,0.032691332995438416,0.9521531100478469
0.75,0.027369488089204256,0.9569377990430622
0.8,0.023061327927014697,0.9569377990430622
0.8500000000000001,0.01900658895083629,0.9712918660287081
0.9,0.01469842878864673,0.9760765550239234
0.9500000000000001,0.010897110998479472,0.9952153110047847
