x,v1,v2
0.0,3972,1
0.05,943,155
0.1,673,172
0.15000000000000002,545,181
0.2,465,185
0.25,391,190
0.30000000000000004,343,193
0.35000000000000003,306,194
0.4,271,196
0.45,244,198
0.5,213,198
0.55,191,198
0.6000000000000001,172,198
0.65,145,199
0.7000000000000001,128,199
0.75,107,200
0.8,90,200
0.8500000000000001,74,203
0.9,57,204
0.9500000000000001,42,208
