,v1,v2
0,0.9331,0.9347
1,0.9346,0.935
2,0.9354333333333333,0.9362
3,0.9362,0.9374
4,0.9373333333333334,0.9389
5,0.9383,0.9401
6,0.9393,0.9405
7,0.9403333333333334,0.9415
8,0.941,0.9417
9,0.9412333333333334,0.9416
10,0.9416333333333333,0.9421
11,0.9424333333333333,0.9424
12,0.9420333333333333,0.9426
13,0.9423,0.9434
14,0.9426666666666667,0.9434
15,0.9423666666666667,0.9441
16,0.9429,0.9432
17,0.9429666666666666,0.944
18,0.943,0.9444
19,0.9434,0.9442
20,0.9447,0.9443
21,0.9453,0.9447
22,0.9456333333333333,0.9443
23,0.9462333333333334,0.9448
24,0.9471666666666667,0.9453
25,0.9475,0.945
26,0.9474,0.9454
27,0.9480333333333333,0.9455
28,0.9482333333333334,0.9454
29,0.9477666666666666,0.9455
30,0.9482,0.9458
31,0.9485666666666667,0.9468
32,0.9487666666666666,0.9457
33,0.9484,0.9458
34,0.9491666666666667,0.9464
35,0.9496333333333333,0.9457
36,0.9495333333333333,0.9473
37,0.9497,0.9468
38,0.9501,0.9455
39,0.9502333333333334,0.9462
40,0.9506333333333333,0.9458
41,0.9506,0.9441
42,0.9505,0.9447
43,0.9509666666666666,0.9455
44,0.9503333333333334,0.9451
45,0.9506,0.9456
46,0.951,0.9449
47,0.9509333333333333,0.946
48,0.9508666666666666,0.9462
49,0.9507,0.9456
50,0.9511666666666667,0.9459
51,0.9517333333333333,0.9461
52,0.9520333333333333,0.945
53,0.9525333333333333,0.9456
54,0.9532,0.9462
55,0.9537666666666667,0.9463
56,0.9541333333333334,0.945
57,0.9545333333333333,0.9456
58,0.9544666666666667,0.9456
59,0.9548,0.9443
60,0.9546333333333333,0.9437
61,0.9550666666666666,0.9441
62,0.9549,0.9439
63,0.9550333333333333,0.9435
64,0.9554666666666667,0.9427
65,0.9555333333333333,0.9433
66,0.9561333333333333,0.9445
67,0.9563333333333334,0.9443
68,0.9557,0.9427
69,0.9565,0.9429
70,0.9565,0.9436
71,0.9562333333333334,0.9449
72,0.9566333333333333,0.9457
73,0.9565333333333333,0.9446
74,0.9569,0.9452
75,0.9573666666666667,0.9447
76,0.9571333333333333,0.9437
77,0.9573,0.9444
78,0.9575,0.9462
79,0.957,0.9451
80,0.9574,0.9479
81,0.9571333333333333,0.9469
82,0.9577666666666667,0.9453
83,0.9578,0.9456
84,0.9575666666666667,0.9452
85,0.9580666666666666,0.9443
86,0.9578666666666666,0.944
87,0.9578,0.9474
88,0.9581666666666667,0.9473
89,0.9583333333333334,0.9489
90,0.9585333333333333,0.9451
91,0.9586333333333333,0.9448
92,0.9587,0.9473
93,0.9591333333333333,0.9443
94,0.9594333333333334,0.9464
95,0.9592,0.9435
96,0.959,0.9419
97,0.9591333333333333,0.9468
98,0.9593666666666667,0.9467
99,0.9590333333333333,0.9452
100,0.959,0.9453
101,0.9594333333333334,0.9468
102,0.9599666666666666,0.9432
103,0.9597,0.9469
104,0.9608,0.9473
105,0.9614,0.9484
106,0.9612,0.9477
107,0.9609333333333333,0.9442
108,0.9605333333333334,0.9455
109,0.9603666666666667,0.9474
110,0.9606,0.9495
111,0.9624666666666667,0.9459
112,0.9627333333333333,0.9472
113,0.9615,0.949
114,0.9628,0.9505
115,0.9622333333333334,0.9448
116,0.9620333333333333,0.9493
117,0.9627333333333333,0.9437
118,0.9618333333333333,0.9454
119,0.9613,0.9483
120,0.9634,0.9491
121,0.9631333333333333,0.9444
122,0.9625666666666667,0.9431
123,0.9622333333333334,0.9494
124,0.9647333333333333,0.9496
125,0.9641666666666666,0.946
126,0.9643333333333334,0.9482
127,0.9651,0.9431
128,0.9642666666666667,0.9462
129,0.9642333333333334,0.9425
130,0.9639,0.9456
131,0.9639666666666666,0.9439
132,0.9654333333333334,0.9455
133,0.9647333333333333,0.9432
134,0.9646666666666667,0.9411
135,0.9648666666666667,0.9466
136,0.9647666666666667,0.9425
137,0.9655333333333334,0.9456
138,0.9650333333333333,0.9464
139,0.9674333333333334,0.9441
140,0.9668666666666667,0.9463
141,0.9660333333333333,0.944
142,0.9661,0.9459
143,0.9662666666666667,0.9464
144,0.9660666666666666,0.9432
145,0.9667333333333333,0.9448
146,0.9667333333333333,0.9452
147,0.967,0.9476
148,0.9671333333333333,0.9459
149,0.9668666666666667,0.9477
150,0.967,0.9451
151,0.9668666666666667,0.9452
152,0.9668,0.946
153,0.9686666666666667,0.9489
154,0.9698,0.9476
155,0.9689666666666666,0.9496
156,0.968,0.9463
157,0.9692333333333333,0.9497
158,0.9683666666666667,0.9452
159,0.9706333333333333,0.9475
160,0.9709666666666666,0.9464
161,0.9685666666666667,0.9452
162,0.9672333333333333,0.9458
163,0.9673666666666667,0.9438
164,0.9682333333333333,0.9448
165,0.9689666666666666,0.9467
166,0.9675333333333334,0.9487
167,0.9702666666666667,0.9463
168,0.9703666666666667,0.948
169,0.9691666666666666,0.9464
170,0.9687333333333333,0.9467
171,0.9682666666666667,0.9472
172,0.9706666666666667,0.9477
173,0.9707333333333333,0.9469
174,0.9695,0.9458
175,0.9693,0.9471
176,0.9694,0.9464
177,0.9692,0.9459
178,0.9696,0.9494
179,0.9697,0.944
180,0.9703,0.9483
181,0.9709,0.9468
182,0.9709333333333333,0.9438
183,0.9707666666666667,0.949
184,0.9713,0.9469
185,0.9722,0.9482
186,0.9715333333333334,0.9473
187,0.9715333333333334,0.9448
188,0.9717666666666667,0.9467
189,0.9720666666666666,0.9488
190,0.9712,0.9464
191,0.9723666666666667,0.9487
192,0.9717333333333333,0.9482
193,0.9715333333333334,0.9468
194,0.9723666666666667,0.9497
195,0.9724333333333334,0.9479
196,0.9722,0.9488
197,0.9737,0.9497
198,0.9740333333333333,0.9487
199,0.9729666666666666,0.9496
200,0.9735333333333334,0.9493
201,0.9743666666666667,0.9503
202,0.9733,0.9484
203,0.9743,0.9481
204,0.975,0.9501
205,0.9751333333333333,0.9479
206,0.9745333333333334,0.9466
207,0.9751333333333333,0.9483
208,0.9753,0.9498
209,0.9759333333333333,0.9491
210,0.9745,0.9504
211,0.9752,0.9476
212,0.9736,0.949
213,0.9741666666666666,0.9502
214,0.9746333333333334,0.9473
215,0.9767333333333333,0.9478
216,0.9754666666666667,0.9483
217,0.9754,0.9499
218,0.9756666666666667,0.948
219,0.9756333333333334,0.95
220,0.9758333333333333,0.9499
221,0.9761,0.9492
222,0.9774,0.9478
223,0.9757,0.9487
224,0.9769,0.9482
225,0.9780333333333333,0.9456
226,0.9769,0.9489
227,0.9766333333333334,0.9453
228,0.9756333333333334,0.9511
229,0.9770333333333333,0.9494
230,0.9759,0.951
231,0.9803333333333333,0.9474
232,0.9787333333333333,0.9494
233,0.9784333333333334,0.9473
234,0.9792666666666666,0.9498
235,0.9802666666666666,0.9482
236,0.9787333333333333,0.9502
237,0.979,0.9479
238,0.977,0.9502
239,0.9781666666666666,0.9479
240,0.9788,0.9496
241,0.9795333333333334,0.9493
242,0.9784333333333334,0.9455
243,0.9788333333333333,0.9508
244,0.9799666666666667,0.9487
245,0.9822,0.9511
246,0.9811666666666666,0.9459
247,0.9822333333333333,0.9471
248,0.9797333333333333,0.9506
249,0.9811666666666666,0.9492
