x,v1,v2
0.0,1.0001071926251475,0.0
0.05,0.1648622574766856,0.3333333333333333
0.1,0.1004394897631043,0.4166666666666667
0.15000000000000002,0.0696752063458034,0.5
0.2,0.05338192732340015,0.5833333333333334
0.25,0.040518812305713366,0.5833333333333334
0.30000000000000004,0.03054989816700611,0.6666666666666666
0.35000000000000003,0.023260799656983598,0.6666666666666666
0.4,0.018651516775645836,0.8333333333333334
0.45,0.01522135277092936,0.8333333333333334
0.5,0.011148033015328546,0.8333333333333334
0.55,0.009004180512380748,0.9166666666666666
0.6000000000000001,0.006217172258548612,1.0
0.65,0.003751741880158645,1.0
0.7000000000000001,0.002143852502947797,1.0
0.75,0.001500696752063458,1.0
0.8,0.0013935041269160682,1.0
0.8500000000000001,0.0008575410011791188,1.0
0.9,0.0005359631257369493,1.0
0.9500000000000001,0.0003215778754421696,1.0
