x,v1,v2
0.0,1.0258215962441315,0.0
0.05,0.38673708920187794,0.125
0.1,0.33215962441314556,0.19642857142857142
0.15000000000000002,0.2699530516431925,0.21428571428571427
0.2,0.1596244131455399,0.5714285714285714
0.25,0.051056338028169015,0.9642857142857143
0.30000000000000004,0.03814553990610329,0.9642857142857143
0.35000000000000003,0.035211267605633804,0.9642857142857143
0.4,0.034624413145539906,0.9642857142857143
0.45,0.03403755868544601,0.9642857142857143
0.5,0.03345070422535211,1.0
0.55,0.03345070422535211,1.0
0.6000000000000001,0.028755868544600938,1.0
0.65,0.027582159624413145,1.0
0.7000000000000001,0.02699530516431925,1.0
0.75,0.02699530516431925,1.0
0.8,0.025821596244131457,1.0
0.8500000000000001,0.025821596244131457,1.0
0.9,0.025821596244131457,1.0
0.9500000000000001,0.025821596244131457,1.0
